cameraID,frameID,points
A000001,A000001,"[((138, 134), (139, 63))]"
A000001,A000001,"[((138, 131), (52, 216))]"
A000001,A000001,"[((54, 217), (137, 132)), ((54, 217), (143, 59)), ((137, 132), (143, 59))]"
A000001,A000001,"[((143, 59), (55, 214)), ((143, 59), (117, 67)), ((55, 214), (117, 67))]"
A000001,A000001,"[((135, 142), (141, 65))]"
A000001,A000001,"[((141, 64), (56, 209))]"
A000001,A000001,"[((61, 201), (143, 67))]"
A000001,A000001,"[((62, 201), (142, 66)), ((62, 201), (115, 70)), ((142, 66), (115, 70))]"
A000001,A000001,"[((62, 205), (129, 149)), ((62, 205), (140, 72)), ((129, 149), (140, 72))]"
A000001,A000001,"[((63, 204), (128, 151)), ((63, 204), (140, 73)), ((128, 151), (140, 73))]"
A000001,A000001,"[((128, 150), (63, 204)), ((128, 150), (115, 72)), ((128, 150), (139, 73)), ((63, 204), (115, 72)), ((63, 204), (139, 73)), ((115, 72), (139, 73))]"
A000001,A000001,"[((116, 74), (128, 146)), ((116, 74), (139, 74)), ((128, 146), (139, 74))]"
